电影名,年份,时长,评论,下载链接,导演,主演,分类,地区,评分,计划观看人数,简介
冰人,2017,97,,"https://pan.baidu.com/s/1HFJuIjV32L56DYb0mC_i4Q 密码:ns3f, ed2k://|file|冰中之人.Der.Mann.aus.dem.Eis.2017.BD.German.MiniSD-TLF.mkv|782750297|39E99BA68D068381B9ED03CB25F73594|h=FT5Y4LIOKXGGD6Q3CEGCTB3DA65OOAI3|/",FelixRandau,于尔根·福格尔,剧情,德国,,8,5000 years ago: A man lives with his woman and their children in the ?tztals Alps. Coming back to his hut after hunting ...
魔鬼时光,2017,115,等啊等很好看吗,"https://pan.baidu.com/s/1nW0bnq3OZrDRpIsbimEHdw 密码:1783, http://www.pniao.com/p/zimu/10/1528167836.srt, ed2k://|file|[2017]November.mkv|1118877526|3EB3C80F3B6AD053310742953110B725|h=U7PGRMZJNJNOI7GYEQX57LRRGQXA4JDH|/, magnet:?xt=urn:btih:10C68F167AED00D7BAF4D422A4315456F433EAFB&www=pniao.com, https://pan.baidu.com/s/1rp7gyaFmYDTxOZyZfdzwsQ 密码:r97e",Rainer,塔维·艾尔玛,"剧情,爱情,奇幻",爱沙尼亚,6.9,111,爱沙尼亚2018年的“申奥片”，根据爱沙尼亚作家安德鲁斯·基维尔科的小说《加热》改编。故事发生在爱沙尼亚一个异教徒聚居的小村庄，这里狼人、瘟疫和幽灵肆虐。为了在冰冷而黑暗的冬天里生存下来，这里的村民们百无禁忌，四处偷窃。他们出卖自己的良心，...
手机,2003,107,补课补课来了应景，补课。,"http://pan.baidu.com/s/1hqQq3sS, magnet:?xt=urn:btih:DA37E1300918325C0B65DAB83E74A09CFDA51425&www=pniao.com, magnet:?xt=urn:btih:20BDA10480FEA8A591E4DAA3DD7B1061A9C9AB53&www=pniao.com, thunder://QUFmdHA6Ly82OjZANi42NnlzLm9yZzoyMTQxLyVFMyU4MCU5MCVFNiU5QiVCNCVFNSVBNCU5QSVFNSVBNCVBNyVFNyU4OSU4NyVFOCVBRiVCNyVFNSU4RSVCQnd3dy42NnlzLm9yZyVFMyU4MCU5MSVFNiU4OSU4QiVFNiU5QyVCQUhEJUU1JTlCJUJEJUU4JUFGJUFEJUU0JUI4JUFEJUU1JUFEJTk3LnJtdmJaWg==",冯小刚,张国立,"剧情,喜剧,家庭",中国大陆,7.3,19,改编自刘震云同名小说《手机》是冯小刚执导部贺岁喜剧片，，由葛优、范冰冰等主演。影片讲述了事业如日中天的电视主持人严守一因为手机给他的生活带来快乐、带来爱情的同时，也使他的婚姻遇到了很大的危机。著名电视谈话节目《有一说一》的主持人严守一（葛优...
海猫,2004,129,养眼，刺激。,https://pan.baidu.com/s/1PsIBCzpxsWeY2UIYAGb3Kg 密码:n3v3,森田芳光,伊东美咲,"剧情,爱情",日本,6.7,16,20世纪80年代中期，位于北海道的寒冷小镇函馆，生活着一个美丽迷人的女子。拥有俄罗斯血统的混血女子野田薰（伊东美咲饰）肌肤如雪，貌美如花，俨然是这个小镇上一道靓丽夺目的风景。薰和偶然邂逅的渔夫赤木邦一（佐藤浩市饰）相识相恋，最终远嫁邦一所在...
出租车司机,1976,113,字幕是2017的，误。,"http://www.pniao.com/p/zimu/2/1528159630.zip, ed2k://|file|Taxi.Driver.1976.出租车司机.双语字幕.HR-HDTV.AC3.1024x554.x264-人人影视制作.mkv|1863281309|90AE47C3F16F2CD50603E1E66938099C|h=Z6L5IRKJ7PKU66IMVHEKM7LQDCB2NQAZ|/, ed2k://|file|出租车司机.Taxi.Driver.1976.BD.MiniSD-TLF.mkv|910439509|978F2CE0F3F3F6E196E4D1B56164E388|/, ed2k://|file|Taxi.Driver.1976.REMASTERED.BluRay.720p.DTS.x264-CHD.mkv|9350620438|FC294DD665F150AFC506D000757134AF|h=AWOT3325RY77N52CWSZFL2B3CVZBA5PT|/, magnet:?xt=urn:btih:9E6DD852164B5AAB346BC26CC62EF1D8A82560A9&www=pniao.com, magnet:?xt=urn:btih:99B9F17E9F6622E7519604173C6992A040D92860&www=pniao.com, magnet:?xt=urn:btih:5fe2fa4846d73a6437391970ce9c700fe033e0b4&dn=出租车司机.1976.中英字幕￡CMCT暮雨潇潇&www=pniao.com, magnet:?xt=urn:btih:8d9b91d9dee676bc3a4d7e5e80ad66837c2f8b71&dn=飞鸟娱乐[bbs.hdbird.com].出租车司机.720p.中英字幕&www=pniao.com, magnet:?xt=urn:btih:df40d0b97059d6e106e6ba0e367fbce5f552b501&dn=[2017.01.10]出租车司机[1976年美国犯罪剧情(MKV)]（帝国出品）&www=pniao.com, magnet:?xt=urn:btih:0bbf2458cd607c0779a22f362f0d1e83eb35de65&dn=Taxi.Driver.1976.720p.BluRay.X264-AMIABLE&www=pniao.com, magnet:?xt=urn:btih:10e527cbd7d813ba7a0a0a20f70a003b90904b56&www=pniao.com, magnet:?xt=urn:btih:c94c54f0345b7bf6023b37ee76d8eae8dcb9c827&www=pniao.com",马丁·斯科塞斯,罗伯特·德尼罗,"剧情,犯罪",美国,8.4,60,1976年第29届戛纳国际电影节金棕榈大奖，由马丁·斯科西斯执导，保罗·施拉德编剧。该片以一个出租车司机的视角讲述发生在越战结束后的纽约，这时美国上下都颇为尴尬迷茫。他每天开着出租汽车目睹着纽约的堕落，最后却戏剧般成为了公众英雄。 特拉维斯...
时间规划局,2011,109,,"https://pan.baidu.com/s/1l8O_BRcBL0s4bLwp0svTYA 密码:b9nu, http://www.pniao.com/p/zimu/2/1528159079.zip, ed2k://|file|In.Time.2011.时间规划局.双语字幕.HR-HDTV.AC3.1024X576.x264-人人影视制作.mkv|1791453158|54f62658909794caa73f5d5e31da4a80|h=ca2fyhfmgvgvqkjlittfna6jvvwhsec6|/, ed2k://|file|时间规划局.In.Time.2011.BD.MiniSD-TLF.mkv|796200635|1FA3DC7E4F0DEE8238DE920DF73275F3|/, magnet:?xt=urn:btih:6aa7c228e04b73150426ac7d9b41432bb954491e&www=pniao.com, magnet:?xt=urn:btih:5557FDACABC5C25156FE15F6E6BDE434C73D5F62&www=pniao.com, magnet:?xt=urn:btih:f3b82ba3208127352c2300cdbe26f6db3a90568b&dn=时间规划局.2011.中英字幕￡CMCT君子九思&www=pniao.com, magnet:?xt=urn:btih:1686ecde9d388e498349d0890924bb3a8a5496b9&dn=飞鸟娱乐[bbs.hdbird.com].时间规划局.720p.中英字幕&www=pniao.com, magnet:?xt=urn:btih:2e4a80cc0d507b2ef9a7f434e280d0c8aa367e8e&www=pniao.com, magnet:?xt=urn:btih:d7ed16289527c62859badd165f85caaa3fd8dbaf&dn=In.Time.2011.720p.BluRay.X264-AMIABLE&www=pniao.com, magnet:?xt=urn:btih:4f5aed890664589c06daa312c4d9988883a9682c&www=pniao.com",安德鲁·尼科尔,阿曼达·塞弗里德,"动作,科幻",美国,6.8,8,安德鲁·尼科尔执导，贾斯汀·汀布莱克、阿曼达·塞弗里德主演的惊悚、科幻电影。讲述发生在虚构的未来世界里的故事。电影讲述的故事发生在未来世界，在那时时间成为一种可以购买、存储的商品。主角Will被诬告杀害了一名富有的人并偷走了他的时间，他便开...
咖啡公社,2016,96,,"https://pan.baidu.com/s/1NhhbjfQADPNszgi1CQgFtQ 密码:gc9a, http://www.pniao.com/p/zimu/3/1528158768.rar, ed2k://|file|Cafe.Society.(2016).BD.MiniSD-TLF.mkv|675732651|1D5DEED911AB361B37526B8FA2220F14|h=MNUQCV5URDUJMTTTU47MZ56G7GDNSDDL|/, magnet:?xt=urn:btih:1e0dd6f8a66fa08fa47aed7d679fc0b7ef08188b&www=pniao.com, magnet:?xt=urn:btih:6eaa52e90b08b56df32b1744b3d75e986a4e385c&www=pniao.com, magnet:?xt=urn:btih:5668eddb59b7bcba050e9d3633a2523464d66307&www=pniao.com, magnet:?xt=urn:btih:c477b70f26b58428c75ec44832d440e18238e178&www=pniao.com",伍迪·艾伦,杰西·艾森伯格,"剧情,喜剧,爱情",美国,7.1,44,伍迪·艾伦自编自导的爱情喜剧片，杰西·艾森伯格、克里斯汀·斯图尔特、史蒂夫·卡瑞尔、布蕾克·莱弗利联合主演。故事背景设定在1930年美国，讲述了一个青年来到好莱坞追寻自己的电影梦，随即坠入爱河并沉迷于那个时代著名的咖啡公社的故事。 故事发生...
险恶,2012,110,,"magnet:?xt=urn:btih:8946f55952ba7c69f471a9811d7c3bb017ffa2bc&www=pniao.com, https://pan.baidu.com/s/14h5MK-8UG71miDOlY4lm0g 密码:zkl3, magnet:?xt=urn:btih:5e5f0a9432d09405836bf23d1980347e12f11ecf&dn=Sinister.2012.险恶.双语字幕.HR-HDTV.AC3.1024X576.x264-人人影视制作.mkv&www=pniao.com, magnet:?xt=urn:btih:f8625d3a7e02373e8613e66ce5453046245455d7&www=pniao.com, magnet:?xt=urn:btih:42b321ffad55367db8e2e3fc7bad4724856d48d0&dn=Sinister.2012.1080p.BluRay.X264-AMIABLE&tr=http://tracker.trackerfix.com:80/announce&tr=udp://9.rarbg.me:2710&tr=udp://9.rarbg.to:2710&www=pniao.com, magnet:?xt=urn:btih:cc5bd6e190d4af168ea72900c9507da58744cc8a&www=pniao.com",斯科特·德瑞克森,伊桑·霍克,"惊悚,恐怖",美国,6.4,17,由美国顶峰娱乐发行的惊悚片，由斯科特·德瑞克森执导，伊桑·霍克、文森特·多诺费奥、詹姆斯·兰索恩、弗雷德·多尔顿·托马斯联合主演， 该片讲述了一个犯罪小说家为寻找自己下一部重磅小说的故事来源他把家搬到了一栋凶宅中后发生的一系列故事。 埃里森...
四处散落的碎片,2007,104,,magnet:?xt=urn:btih:96E1D8641D76816F8F99BEB7458FE081D3813F11&www=pniao.com,杰雷米·波德斯瓦,罗比·凯,剧情,加拿大,8,14,本片获2007罗马电影节最佳男演员奖。一个犹太孤儿亲眼目睹了家人被纳粹杀害，而他本人则被一位希腊考古学家解救并收养。之后，他便跟随着养父先后在不同的国家生活。小孤儿逐渐长大并拥有了正常的生活，而养父的事业也逐渐发展。但是有一天，当孤儿无意中...
皮毛,2006,117,,"https://pan.baidu.com/share/init?surl=kV3TQIj 密码:x854, http://www.pniao.com/p/zimu/6/1528158406.srt, magnet:?xt=urn:btih:0bc1d2d3f048ccd580088ea72399c7e566bd67eb&www=pniao.com, magnet:?xt=urn:btih:A48471FB57B74F0B1B49D63B6BBBDD0F046BEADC&www=pniao.com",史蒂芬·西恩博格,妮可·基德曼,"剧情,爱情,悬疑",美国,6.9,20,史蒂芬·西恩博格执导，妮可·基德曼、小罗伯特·唐尼等主演。根据Patricia Bosworth创作的关于黛安·阿布斯的传记小说改编，讲述了已为人妻的黛安·阿布斯与邻居、多毛症患者莱昂内尔相爱，从此她的人生道路发生改变，最终成为一名以拍摄畸...
星条旗永不落,2006,106,战争对于战士一样有心理影响。,"https://pan.baidu.com/s/18e_thdFxJnj2PxYjuE3UpQ 密码:y2b9, http://www.pniao.com/p/zimu/6/1528158019.zip, ed2k://|file|Home.Of.The.Brave.2006.720p.Bluray.X264-BARC0DE.mkv|4705809569|F6C334E9CF2608ECA6FE1055B3532AC3|h=2H7DMRSBA3VTRVHM3JKXD4ZCWTIYD6BR|/, magnet:?xt=urn:btih:4779d04dd18c576fe9e4bba392a6cda0d863bf97&www=pniao.com",艾文·温克勒,塞缪尔·杰克逊,"剧情,动作,战争",美国,6.8,3,四位驻伊美军士兵接到了回国的调令，然而，一次恐怖性炸弹袭击，改变了他们的命运。军用卡车司机凡妮莎（杰西卡?贝尔JessicaBiel饰）被炸成重伤，军医威尔（塞缪尔?杰克逊SamuelL.Jackson饰）负责救治，结果不幸截肢。贾马尔（5...
女人领地,2007,97,,"http://www.pniao.com/p/zimu/11/1528157481.zip, magnet:?xt=urn:btih:0108d06ed70df67acbbb389c3ef1af718b838630&dn=In.The.Land.Of.Women.2007.720p.BluRay.x264-SiNNERS.mkv&www=pniao.com",乔恩·卡斯丹,梅格·瑞恩,"剧情,喜剧,爱情",美国,6.7,3,卡特（亚当·布罗迪AdamBrody饰）在好莱坞的事业进展得不大顺利，也一直遇不上能相伴终生的爱人。当漂亮女友索菲娅（埃琳纳·安娜亚ElenaAnaya饰）和他摊牌分手之后，卡特的心情跌到了谷底。他离开了洛杉矶，来到密歇根的祖母家，这里有大...
纽约时刻,2004,91,,"http://pan.baidu.com/s/1dDIxWS5, magnet:?xt=urn:btih:83D7534E42D44D3D7025181CFE6B1D5A4A99B59A&www=pniao.com, magnet:?xt=urn:btih:BCC64F2C45E9D1CBBF64E0C086ADEE628F7C3633&www=pniao.com",丹尼·高顿,玛丽-凯特·奥尔森,喜剧,美国,6.8,4,简·瑞恩（艾什莉·奥尔森饰）还不足18岁，她拥有所有成绩优秀女孩儿的全部特征--勤奋好学、处事果断而又深谋远虑。向来一帆风顺的简再次走到人生必须经历的十字路口，这次为了登陆牛津大学深造，她必须参加哥伦比亚大学举办一个演讲比赛，以期赢得求知必...
美丽坏姐妹,2005,104,,magnet:?xt=urn:btih:CA5B155F28913CDEF709E135FC85AF8FDA11EAAE&www=pniao.com,马科斯·西恩加,埃文·蕾切尔·伍德,"剧情,喜剧",美国,6.8,9,15岁的女孩金伯莉（埃文?蕾切尔?伍德EvanRachelWood饰）集美貌与智慧于一身，演技出众，才华横溢，她是贵族学校里最耀眼的一颗明星。只是，金伯莉却生活在一个冷漠的世界里。家庭虽然富有，父母却一早离异，父亲是个不折不扣的瘾君子，母亲...
珍妮的画像,1949,,,"http://pan.baidu.com/s/1bo1OuWR 密码:iqow, http://www.pniao.com/p/zimu/10/1528128744.rar, magnet:?xt=urn:btih:2985ec3f3d480da6f183da868ac9c78286bf0358&www=pniao.com, magnet:?xt=urn:btih:2cdc6599c92c2a62ee5a06e903b804a68b803632&www=pniao.com",威廉·迪亚特尔,珍妮弗·琼斯,"剧情,爱情,悬疑",美国,8.1,17,威廉·迪亚特尔导演，约瑟夫·科顿+珍妮弗·琼斯主演，还有两位大腕级女星甘当配角。一部充满奇幻色彩的爱情片，超越了时间空间超越了生死界限的爱情，如果时间真的不存在我们可能会在任何一个点相遇。 艾本（约瑟夫·科顿JosephCotten饰）是一...
欲望之翼,1983,,,,丁度·巴拉斯,弗兰克·芬莱,"剧情,情色",意大利,6.2,60,丁度·巴拉斯导演作品。学者（弗兰克·芬莱FrankFinlay饰）娶了一个和自己年龄相差甚大的美艳妻子（斯蒂芬尼娅·桑德雷莉StefaniaSandrelli饰），因为担心自己无法满足年轻的妻子，学者感到十分的困扰。长久以来，学者有着记日记...
不知不觉诱惑你,1998,105,,,丁度·巴拉斯,安娜·阿美拉蒂,"喜剧,情色",意大利,6.4,31,丁度·巴拉斯导演作品， 年轻的露娜（AnnaAmmirati饰）充满活力，作风大胆，让镇上青年们惊叹，令保守人士们侧目。露娜同在面包房工作的青年马萨多（MarioParodi饰）订下婚约，并时常要求与对方共赴巫山，但古板的马萨多每次都坚决回...
着魔,1981,,阿佳妮的眼睛是真的好看啊，别说星辰大海，简直就是宇宙。,"http://pan.baidu.com/s/1dFxRrfN 密码:7tww, http://www.pniao.com/p/zimu/11/1528120146.srt, ed2k://|file|Possession.1981.着魔.双语字幕.HR-HDTV.AC3.960X576.x264.mkv|2026945311|6fdb3b4451e4a14167735460dcaf4c1d|h=4nrzdr6xnmnach5t5i4f7dfna2m4jjzf|/, ed2k://|file|7s-pos-720p.mkv|4686074576|D8511995D423B060382ED9C9A14E4593|h=FHFTUQMSAKQM5ETINDUQWQZBYKYWPV3O|/, magnet:?xt=urn:btih:b6bee902a1ad82f16a213cf7f7169046f24f1e6f&www=pniao.com, magnet:?xt=urn:btih:A597DC47C4D30BD4F6479A47537C8D8D624143C7&www=pniao.com, magnet:?xt=urn:btih:53a0a55cc4655cc083126560ccf554e14e7c6833&dn=着魔.1981.中英字幕￡CMCT犇犇&www=pniao.com, magnet:?xt=urn:btih:B22E212FF4C781A71A68C5321B39BBE3A7684C30&www=pniao.com, magnet:?xt=urn:btih:b536a52789b16b68c4d77a6d0bb79abc88bdd537&dn=Possession.1981.720p.BluRay.X264-7SinS[rarbg]&www=pniao.com, magnet:?xt=urn:btih:02bd8df3761e2fc6125f7d78b04570d89ec27a1b&dn=Possession.1981.1080p.BluRay.X264-7SinS+[PublicHD]&www=pniao.com, magnet:?xt=urn:btih:7e11c997734d1585438cd2ffbb69778b774005e7&dn=Possession.1981.BluRay.1080p.DTS.x264-CHD+[dydao.com]&www=pniao.com, magnet:?xt=urn:btih:bcfc5a744e6282bb6df1a4150f065dd3297d175c&dn=Possession.1981.LE.Mondo.Bluray.1080p.DTS-HD-1.0.x264-Grym&www=pniao.com, magnet:?xt=urn:btih:e0ee1dc3def8adb26f4b71d5be6b3f2465f010a0&www=pniao.com, magnet:?xt=urn:btih:0aef77f69cd52f083dfb2e015f51f1266b655390&www=pniao.com",安德烈·祖拉斯基,伊莎贝尔·阿佳妮,"剧情,恐怖",法国,7.8,36,由安德烈·祖拉斯基执导，伊莎贝尔·阿佳妮等主演。该片讲述了马克的妻子安娜未留下任何原因离家出走，他一度认为安娜与一个名叫海恩里克的男人有染，却发现海恩里克也在寻找许久未见的安娜。马克于是雇佣私家侦探调查。但随着线索的逐一呈现，事实的真相反倒...
女狙击手,2015,117,,"ed2k://|file|Battle.for.Sevastopol.2015.女狙击手.720p.Chi.BD-MP4(pniao.com).mp4|1594751835|edfcc1dc9daeb5b8d6751d7817a8be96|h=6s4n4f3jmlrovdhxx47zgh4nrhzfrouj|/, ed2k://|file|女狙击手.Battle.for.Sevastopol.2015.中英字幕.720p.WEB-DL.H264.深影论坛制作(pniao.com).mp4|885817323|7B8FE258049D3B09DC599B9371E861CC|h=5T5H2DUQOS422YJ5GUQJFL73IHYZJ67D|/, ed2k://|file|女狙击手.Battle.for.Sevastopol.2015.中英字幕.1080p.WEB-DL.DD5.1.H264.深影论坛制作.mkv|2739077210|262342F6484FC289D25C26431E23A939|h=WOH2HLSK6467L3AQOMJ52S27DTEL47MQ|/, ed2k://|file|女狙击手.Battle.for.Sevastopol.2015.BD.MiniSD-TLF.mkv|988612812|D516377AB2EA3B9C55712C55BB8DE93B|h=DDQCVS3SFYNV2HLFFUTEXPACRXJMLZFI|/, magnet:?xt=urn:btih:0000C46750096AAEBFD4FE776B99D07E52868256&www=pniao.com, magnet:?xt=urn:btih:ABC44CFEF02351B013A5A759B738515B1DA1FF5F&www=pniao.com, magnet:?xt=urn:btih:BA7C00C1670E68B4F52A3B29C3CD72056A202D26&www=pniao.com",谢尔盖·马克利斯基,尤利娅·别列希尔德,"剧情,爱情,传记",俄罗斯,7.3,8,女版《兵临城下》，同样是讲述俄国世界大战时期的狙击手故事。狙击战场面不及后者，但胜在情感丰富，电影从女性角度来展现战争的残酷。战火连天的时代，看似温柔婉约却又争强好胜的女主，一而再地在战争中失去心爱之人，让人无不为她的悲催遭遇和勇敢坚强所触...
索多玛的猫,2016,30,谢谢分享哇喔,"https://pan.baidu.com/s/1lT-baIfEyahTAC3_EonjLw 密码:h7v5, magnet:?xt=urn:btih:fbb68255ba49d2879f35e2e6ef6f53d0881bbe65&www=pniao.com",黄鼎钧,吴秩多,"剧情,同性",台湾,5.5,46,台湾大尺度同性题材影片。晴天，一个有著稚嫩脸庞的年轻男孩，参加了一场同志交友软体所举办的性爱聚会，在如城堡般的社区大楼裡，晴天与另外四个男人罗得、小铁、DUKE和L展开了浸淫于肉体欢愉的旅程....短暂的激情到底是真是假？能够带走的，究竟是...
冒牌天神2,2007,96,,"ed2k://|file|Evan.Almighty.冒牌天神2.双语字幕.HR-HDTV.AC3.1024X576.x264-人人影视制作.mkv|2096362488|30E688D8C5C3B96941EBD4CC08718CD2|h=YLF3FYXNVPWHRHPZG5PM6WGONHQJWGMC|/, ed2k://|file|冒牌天神2.Evan.Almighty.2007.BD.MiniSD-TLF.mkv|770348185|B960F9A07655DAAB98FA7360C3BA7957|/, magnet:?xt=urn:btih:ef798d28f4237f5a4cb35f4ca830456a97e048a7&dn=冒牌天神1+2@南宫长风&www=pniao.com, magnet:?xt=urn:btih:7e3fb84af4a0e442a2139d98f0babe19eaf4bb37&www=pniao.com, magnet:?xt=urn:btih:f3191b24e3476d7ba1094b852def230437f79af2&www=pniao.com, magnet:?xt=urn:btih:8DADD0FB3530381950E50DDFE532D17ACDDA300B&www=pniao.com",汤姆·沙迪亚克,史蒂夫·卡瑞尔,"喜剧,家庭,奇幻",美国,6.5,2,曾在直播节目中大出其丑的主播埃文·巴克斯特（史蒂夫·卡瑞尔SteveCarell饰）走下演播台，开始转战政界，并成功当选布法罗的议员。他努力打造自己的良好形象，以“改变世界”的口号赢得选民的支持，同时这也是夜晚睡前祈祷的内容。在此之后，埃文...
深藏不露,2002,,,,Trevor,杰瑞米·西斯托,短片,美国,8.3,13,本部美国心理悬疑短片，寥寥数笔就描绘出了一个多重人格的罪犯萨姆（杰瑞米·西斯托JeremySisto饰）。在女医生给萨姆治疗的过程中，萨姆分裂出了众多人格，有可爱的小女孩也有暴力的杀人犯，有温柔的女人也有成熟的男子。他们并不配合医生的治疗，...
蛇之人,2010,101,,"magnet:?xt=urn:btih:DE0BC052A479AAC44E3CB199B47E16BAF3B5AC5F&www=pniao.com, https://pan.baidu.com/s/1RaDN6M2kPhl5TK0v-tZWmA 密码:zo1c, magnet:?xt=urn:btih:fa906a14b939e397cf0a0e5f6f6aabd7346ff7dd&www=pniao.com",森淳一,永作博美,惊悚,日本,7.9,11,原本风平浪静的贸易公司朝出社突发变故，主要负责人伊东部长（国村隼饰）突然自杀，作为骨干的今西由起夫课长（西岛秀俊饰）则行踪不明，公司内乱作一团，内部高层更传出今西贪污1亿日元巨款畏罪潜逃的消息。为了避免进一步损害公司形象，高层责令和关西关系...
监狱,1949,98,,"magnet:?xt=urn:btih:a146234e54918556a31e18d913b32f96295a00a5&www=pniao.com, https://pan.baidu.com/s/1KMth60U85mBQQ2Go7oiaog 密码:b1n6, ed2k://|file|监狱.Prison.1949.D5.MiniSD-TLF.mkv|1376110075|44A2ACC9DB80985ABE8075A470D7517D|h=O2L3MJR4YVFNKSA5D6OIQHDM5RQXXJNV|/",英格玛·伯格曼,Doris,剧情,瑞典,7.4,9,由瑞典著名导演英格玛·伯格曼于1949年执导拍摄的剧情片。影片主要讲述了作家与其妻子、情人之间的纠葛，展现了一群无法得到爱的芸芸众生。电影很好的体现了导演对剧本出色的驾驭能力，集中了大量构建个人空间的主题。
死亡与复活,1989,105,,"https://pan.baidu.com/s/1kTLaoAF, http://www.pniao.com/p/zimu/3/1528117701.ssa, magnet:?xt=urn:btih:4F2D07672B6A40F18310436E4B2C61179C36FB15&www=pniao.com, magnet:?xt=urn:btih:FBE34CC163DAB1C1445BB7B8179873EB805CE422&www=pniao.com, magnet:?xt=urn:btih:96D3D1DCB41283A98988D88AEC2CB5DCF7A6BAD2&www=pniao.com",瓦拉里·康涅夫斯基,蒂娜拉·卓卡洛娃,剧情,俄罗斯,8.2,8,影片叙述二次大战尾声，史达林统治时期，苏联西伯利亚境内名为Soutchan的港口小镇上，12岁的小男孩Valerka的母亲在萧条的环境裡，为了活口而在家揽客为妓，这也迫使Valerka经常游荡街头，在市场卖茶给当地矿工。在市场裡，他结识同样...
濑户内少年棒球团,1984,,,,篠田正浩,夏目雅子,"剧情,喜剧,战争",日本,6.8,2,篠田正浩导演作品。昭和20年9月の淡路島。江坂町国民学校の初等科5年男組の級長、足柄竜太、バラケツ(ヤクザ)志望の正木三郎らは担任の中井駒子先生の指示に従って、国語の教科書の不適表現箇所を墨で塗りつぶしていた。海軍大将になることが夢だった三...
半途而废的骑士,1983,,,https://pan.baidu.com/s/1eSqjByE?fid=315081472932354,相米慎二,藤竜也,,日本,,2,日本著名导演相米慎二导演作品。ジョジョ、辞書、ブルースの三人の中学生はガキ大将のデブナガにいつもいじめられており、今日こそやっつけてやろうというとき、そのデブナガが三人の眼の前で誘拐されてしまった。デブナガの父が覚醒剤をタレ流していることに...
男孩遇见女孩,1984,100,,"http://pan.baidu.com/s/1kUW6IIN, ed2k://|file|Boy.Meets.Girl.1984.男孩遇见女孩.720p.Chi.BD-MP4(pniao.com).mp4|1349798335|21e1cc0c1bbabbc01196bc641f86b90f|h=z57vddcwjm4onacfz7qxzi57zz4jt4ai|/, ed2k://|file|男孩遇见女孩.Boy.Meets.Girl.1984.BD.MiniSD-TLF.mkv|1995225480|3A1936B5F7956EFE4B157FB578814CEC|h=G7A7O255O2CEZTWFHFL77XHVKAVYREEC|/, ed2k://|file|bmg-1080p-splits.mkv|7037906125|C9B802036547856D3C0C7B280FC0A6B6|h=QX6ZPCX76XENFDDJVEONWQT2ZIDRHAK6|/, magnet:?xt=urn:btih:5bc5a0d464b7d53c4d078ae3ca6f826050716e1d&www=pniao.com, magnet:?xt=urn:btih:aa237665315f909b7593194c204d521212eb2224&dn=Boy.Meets.Girl.1984.576p.BDRip.x264-HANDJOB.mkv&www=pniao.com, magnet:?xt=urn:btih:5f7c339ca2b605eeb3a86c54720a98935adb775f&dn=[+www.Torrentday.com+]+-+Boy.Meets.Girl.1984.1080P.BLURAY.x264-SPLiTSViLLE&www=pniao.com, magnet:?xt=urn:btih:f0dd3c527c2354e4ad5c609c5c7501b8ed7cf971&dn=Boy.Meets.Girl.1984.720p.BluRay.FLAC2.0.x264.rus.fre.mkv&www=pniao.com, magnet:?xt=urn:btih:D4D112B5920790F7379437B0619EE197B9127A4A&www=pniao.com",莱奥·卡拉克斯,德尼·拉旺,剧情,法国,7.8,13,莱奥·卡拉克斯导演处女作，并荣获1984年戛纳电影节青年奖。该剧讲述了卡拉克斯在梦境与狂想中制造出来的黑白世界的影片，讲述了两个被爱所困的青年男女因际遇相同而互相爱慕的故事，影片通过不同人物的视角与感观将男女之间微妙的联系以独特的表现手法展...
爱情与灵药,2010,113,,"ed2k://|file|Love.and.Other.Drugs.2010.爱情与灵药.双语字幕.HR-HDTV.AC3.1024X544.x264-人人影视制作.mkv|2009598412|8EF70D0DC8F2AE476C340ADBBE541408|h=FGPIGHFZB4RKUNVHJRLAISB2UKDWGT4Y|/, ed2k://|file|爱情与灵药.Love.And.Other.Drugs.2010.BD.MiniSD-TLF.mkv|897595980|7C529F92D2AC424003D99B4830D24A5D|/, magnet:?xt=urn:btih:B1D534680722DD8A48D95861FCB90C477FA9B54D&www=pniao.com, magnet:?xt=urn:btih:4A1231E44A006BD5868A4C77B09D7D225CEDAB10&www=pniao.com, magnet:?xt=urn:btih:32D816FAC389AE107EF4500EE16591D10BB8A9EB&www=pniao.com, magnet:?xt=urn:btih:c523b0febb86213b2af78e11a9d7e2cac291e684&www=pniao.com, magnet:?xt=urn:btih:f0c12eb03e68ef9ef7587d2ce3a90d4d553a14a8&www=pniao.com, magnet:?xt=urn:btih:F7BBD4FEE162288447E9F7A594D4335FFE820498&www=pniao.com, magnet:?xt=urn:btih:2E22F7BFC0418B8EEBDCB9FCFECE3474ACD4F01D&www=pniao.com",爱德华·兹威克,安妮·海瑟薇,"剧情,喜剧,爱情",美国,7,18,安妮·海瑟薇和杰克·吉伦哈尔联袂出演。影片讲述安妮·海瑟薇饰演身患帕金森病的角色玛吉·莫多克，本来想在病重之前“潇洒”过完一生，但却遇见了贩卖伟哥的药品贩子杰克·吉伦哈尔，二人之间闹出不少笑话，剧情也由苦情戏变成浪漫喜剧片。 杰米（杰克?吉...
